Word	Pinyin	CON
酪	lao4	4.83
乐	le4	4.76
勒	le4	4.77
雷	lei2	6.19
垒	lei3	4.88
肋	lei4	6.08
泪	lei4	6.46
累	lei4	4.57
擂	lei4	4.97
棱	leng2	5.49
冷	leng3	5.58
愣	leng4	4.79
梨	li2	7
离	li2	3.92
犁	li2	6.31
篱	li2	6
礼	li3	4.57
里	li3	4.54
理	li3	3.85
历	li4	3.28
立	li4	5.38
丽	li4	3.59
利	li4	3.46
例	li4	4.78
隶	li4	3.08
帘	lian2	6.41
莲	lian2	6.25
联	lian2	3.69
廉	lian2	4.18
镰	lian2	6.49
脸	lian3	6.89
练	lian4	4.68
炼	lian4	4.35
恋	lian4	4.33
链	lian4	6.18
良	liang2	3.5
凉	liang2	5.18
梁	liang2	5.25
粮	liang2	6.54
亮	liang4	5.36
谅	liang4	3.72
晾	liang4	5.79
量	liang4	4.24
疗	liao2	4.74
聊	liao2	5.8
僚	liao2	3.74
撩	liao2	5.15
燎	liao2	3.58
料	liao4	5
列	lie4	3.95
劣	lie4	4.83
洌	lie4	3.43
烈	lie4	3.75
猎	lie4	5.08
裂	lie4	5.51
邻	lin2	5.79
林	lin2	6.72
临	lin2	3.82
淋	lin2	5.68
磷	lin2	5.77
赁	lin4	3.66
拎	lin1	5.57
灵	ling2	3.63
岭	ling3	6.39
铃	ling2	6.48
棂	ling2	5.43
绫	ling2	5.38
龄	ling2	4.05
领	ling3	4.44
令	ling4	4
溜	liu1	5.19
流	liu2	5.41
留	liu2	4.9
硫	liu2	5.74
瘤	liu2	5.73
柳	liu3	6.77
龙	long2	5.45
笼	long2	6.26
聋	long2	5.33
隆	long2	3.51
拢	long3	4.92
偻	lou2	3.46
搂	lou3	5.92
篓	lou3	5.73
漏	lou4	5.58
露	lou4	5.43
庐	lu2	4.68
炉	lu2	6.51
颅	lu2	5.93
卤	lu3	4.83
陆	lu4	5.77
录	lu4	4.46
鹿	lu4	6.85
禄	lu4	4.43
路	lu4	5.56
麓	lu4	5.23
驴	lu:2	6.87
旅	lu:3	4.43
铝	lu:3	6.34
履	lu:3	4.93
律	lu:4	4.23
虑	lu:4	3.83
绿	lu:4	5.92
卵	luan3	6.23
乱	luan4	4.98
掠	lue3	4.3
抡	lun1	5.06
沦	lun2	3.2
论	lun4	4.44
捋	luo1	5.31
锣	luo2	6.27
骡	luo2	6.21
螺	luo2	6.25
裸	luo3	5.69
落	luo4	5.2
妈	ma1	6.74
麻	ma2	4.03
马	ma3	6.67
骂	ma4	5.95
埋	mai2	5.74
买	mai3	6.03
迈	mai4	4.73
麦	mai4	6.56
卖	mai4	6.15
脉	mai4	5.13
瞒	man2	4.62
满	man3	4.74
慢	man4	5.28
漫	man4	3.82
忙	mang2	4.62
盲	mang2	5.36
蟒	mang3	6.5
猫	mao1	7
茂	mao4	3.97
冒	mao4	4.05
贸	mao4	3.15
帽	mao4	6.83
貌	mao4	4.23
眉	mei2	6.63
媒	mei2	3.78
楣	mei2	4.7
煤	mei2	6.92
霉	mei2	4.78
美	mei3	4.53
妹	mei4	6.56
昧	mei4	2.65
媚	mei4	4.03
门	men2	6.89
扪	men2	3.82
闷	men4	4.63
盟	meng2	3.7
猛	meng3	4.33
蒙	meng3	4.15
懵	meng3	3.73
梦	meng4	5.19
迷	mi2	3.8
谜	mi2	5.03
眯	mi1	5.53
觅	mi4	5.1
密	mi4	3.78
蜜	mi4	5.5
眠	mian2	4.86
棉	mian2	6.35
免	mian3	3.15
勉	mian3	3.72
面	mian4	6.5
苗	miao2	5.98
描	miao2	5.19
瞄	miao2	5.19
渺	miao3	3.49
妙	miao4	4.18
庙	miao4	6.32
灭	mie4	4.74
民	min2	5.42
抿	min3	4.43
泯	min3	3.78
敏	min3	3.73
明	ming2	4.74
鸣	ming2	5.19
茗	ming2	4.38
铭	ming2	4.13
命	ming4	3.86
摸	mo1	5.54
馍	mo2	6.64
膜	mo2	5.5
磨	mo2	5.79
抹	mo3	5.36
末	mo4	4.05
沫	mo4	5.78
墨	mo4	6.49
谋	mou2	4.21
母	mu3	5
木	mu4	5.3
目	mu4	6.53
沐	mu4	4.72
牧	mu4	3.88
募	mu4	4.2
墓	mu4	6.69
慕	mu4	3.3
暮	mu4	5.72
拿	na2	5.89
内	nei4	4.49
纳	na4	3.94
娜	na4	3.46
钠	na4	5.83
奶	nai3	6.06
耐	nai4	3.18
男	nan2	5.97
南	nan2	5.38
难	nan2	3.86
挠	nao2	5.67
恼	nao3	4.63
脑	nao3	6.59
闹	nao4	4.98
嫩	nen4	4.42
能	neng2	3.74
尼	ni2	2.85
泥	ni2	6.62
霓	ni2	4.18
拟	ni3	3.15
昵	ni4	3.26
逆	ni4	3.94
匿	ni4	3.75
睨	ni4	4.28
腻	ni4	4.54
拈	nian1	5.49
捻	nian3	5.73
撵	nian3	5.4
念	nian4	5.53
娘	niang2	6.77
酿	niang4	4.68
鸟	niao3	6.9
尿	niao4	6.53
捏	nie1	5.79
孽	nie4	3.79
拧	ning2	5.86
凝	ning2	4.23
妞	niu1	6.1
牛	niu2	6.92
扭	niu3	5.67
农	nong2	5.28
浓	nong2	4.51
弄	nong4	4.23
努	nu3	3.18
怒	nu4	4.86
女	nu:3	5.53
暖	nuan3	4.87
挪	nuo2	5.51
诺	nuo4	3.5
趴	pa1	5.75
爬	pa2	5.7
怕	pa4	5.1
拍	pai1	5.85
排	pai2	4.88
牌	pai2	6.16
派	pai4	4.38
攀	pan1	5.95
蟠	pan2	3.05
判	pan4	4.13
盼	pan4	4.62
畔	pan4	5.11
旁	pang2	4.77
胖	pang4	5.69
抛	pao1	5.9
刨	pao2	5.65
咆	pao2	4.93
炮	pao2	6.59
袍	pao2	5.82
跑	pao3	6.34
泡	pao4	5.33
胚	pei1	5.23
陪	pei2	5.38
培	pei2	3.97
赔	pei2	4.85
佩	pei4	4.36
配	pei4	3.87
喷	pen1	5.49
盆	pen2	6.56
烹	peng1	5.74
朋	peng2	5.27
棚	peng2	6.51
鹏	peng2	5.22
膨	peng2	4.73
捧	peng3	5.7
碰	peng4	5.72
披	pi1	5.68
劈	pi1	5.74
霹	pi1	3.65
皮	pi2	6.38
脾	pi2	5.59
癖	pi3	4.17
屁	pi4	6.31
僻	pi4	4.05
骗	pian4	5.08
漂	piao1	5.36
飘	piao1	4.95
